final_record_alpha_0.7_delta_0.2_factor0.75,total_record
207.5183592613596,1435.5713057057437
218.09490376602642,1357.77874465377
214.2724551110589,1389.3602870557545
215.28326104691845,1356.116609406683
241.1472036277947,1468.0918807278497
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
