final_record_alpha_0.9_delta_0.05_factor0.675,total_record
506.00507841281336,770.1734498674375
448.39377634132745,692.2029764716499
477.82553205282437,726.4116704333958
503.50450905111416,774.325700954186
444.776675026068,649.7387424068771
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
