final_record_alpha_0.7_delta_0.1_factor0.75,total_record
506.0874761456425,1253.9059129430907
526.4439020069321,1358.9255104907309
532.094607686721,1359.6020458825494
535.2885438413826,1367.7391548734922
566.4758364153621,1409.6389455341896
840.4911783650142,2338.7756077387385
763.6063320312686,2129.155934664896
782.0951945940226,2163.5613789474955
786.2888976712248,2226.3498289668755
762.959873763336,2114.1315599455315
1138.23206560903,3424.7466255790596
1189.009913658999,3405.1207845529357
1157.0758340972777,3517.462513460903
1194.5179421252399,3589.1343355017652
1221.4560230821369,3591.0302527158638
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
