final_record_alpha_0.9_delta_0.2_factor0.75,total_record
77.93246190976468,384.86090690971196
67.88684021785039,427.8947423500895
63.33663455889964,483.96877683906604
67.85350365242348,387.9844027912603
66.38805471572186,420.0306625613307
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
