final_record_alpha_0.7_delta_0.2_factor0.5,total_record
1270.5556687234352,3791.4072861677787
1320.3264074884164,3865.252525332054
1285.8853042607232,3787.917010170008
1284.1714777541224,3775.4079498741876
1298.8267960731707,3778.1084324385183
2275.4067821271233,6885.289972670859
2271.1017287416694,6880.005949938917
2285.8503390257624,6910.029910796277
2259.2546228445794,6740.140336025329
2277.979220017522,6858.285015386615
3923.0521039116215,11997.920427781757
3916.6054793521157,12150.799589288468
4008.8414966438036,12312.37554012812
3999.807217653038,12175.060397603755
4012.5501566559274,12321.9742677923
5466.231098489467,17018.293563802363
5490.415262987234,17177.064083181758
5476.289639723558,17182.72115973338
5441.136307450153,17060.425516413074
5400.740587910542,17095.855176229674
0,0
0,0
0,0
0,0
0,0
