final_record_alpha_0.7_delta_0.05_factor0.5,total_record
2967.100260688965,3837.6259535853696
2920.1683366127218,3774.8458448238252
3002.759919746461,3862.655845793681
2950.655052280632,3812.1720784223257
2938.041703986823,3782.906139297801
5320.361279124324,6923.779624443332
5291.144225567838,6850.929768837528
5244.743105778008,6829.331296814615
5260.079200428337,6850.000757389764
5227.319466591843,6817.434666959857
9231.187067829267,12121.61533767692
9099.087621325027,11915.431111665293
9218.459310114436,12120.091325047813
9305.476231514605,12234.98316251146
9082.054520179918,11946.97239656244
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
