final_record_alpha_0.7_delta_0.1_factor0.675,total_record
983.5299445835471,1926.0821661727873
900.1577639644436,1767.4892008427364
949.9746954449683,1834.8881112779807
943.3225155553422,1857.3659170868498
902.2636879696082,1833.0339186143995
1510.5183219129792,2991.730980946767
1564.1100135720121,3108.1470898640505
1564.6612833179681,3073.199038112279
1566.7252069931078,3119.900057174207
1579.885986938749,3135.945577065684
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
