final_record_alpha_0.8_delta_0.05_factor0.5,total_record
2289.016399999996,3019.779599999992
2233.6090000000004,2971.7279999999937
2189.3289999999993,2888.1299999999824
2155.3837999999996,2863.7502
2270.289800000001,2993.6882000000037
3924.20247555621,5231.686744737963
3908.2542567400474,5226.9945602050575
3772.4079766892723,5040.693413577048
3845.397000899124,5134.628386046748
3749.426451798732,5005.782496727736
6522.303903372111,8840.64694263453
6449.150858456487,8735.627775742032
6553.358274356169,8904.056102635172
6657.179361088867,8967.585280008534
6503.491831790297,8785.01190013057
8844.235634886847,12059.014196418084
9022.814806783748,12308.824928456877
8805.983802556075,12066.623537522391
9004.143691259576,12226.559161182546
8976.223916492092,12229.975570954537
0,0
0,0
0,0
0,0
0,0
