final_record_alpha_0.7_delta_0.2_factor0.75,total_record
207.5183592613596,1435.5713057057437
218.09490376602642,1357.77874465377
214.2724551110589,1389.3602870557545
215.28326104691845,1356.116609406683
241.1472036277947,1468.0918807278497
301.3416149664923,2211.335213987246
343.50681150160864,2271.201393583345
348.59365522939,2192.347779808615
304.8242056514767,2105.8545307426666
328.6650809736087,2350.9418846287517
481.911958560793,3481.175442394121
504.7820845700716,3378.3212517969646
481.97409631796256,3541.9471811526887
496.4376764612204,3445.652237048299
463.0120611721406,3456.413421453231
605.2139862875181,4684.640112481046
621.6170742217909,4462.245823592673
619.0696230535704,4480.596901947134
630.2395655590597,4641.654918025043
617.2144058849449,4343.632219935979
724.384519653645,5434.297018773735
778.6576415479562,5318.715144661557
761.959595566243,5527.527230973217
691.9190367148223,5598.595568966567
748.8261440470532,5655.647363953122
