final_record_alpha_0.9_delta_0.2_factor0.75,total_record
77.93246190976468,384.86090690971196
67.88684021785039,427.8947423500895
63.33663455889964,483.96877683906604
67.85350365242348,387.9844027912603
66.38805471572186,420.0306625613307
103.27701316399082,676.2197614057732
89.92642115094161,700.0207272542431
97.0161647964229,642.7933078975129
102.9747798536512,596.6879818314176
98.96007193973185,664.6850920148705
148.64112158849025,1036.0339750526257
136.01347822206873,930.7453858469942
129.17507506609257,899.377360165589
121.34116088964578,897.5616257496579
133.5746544545121,956.2431955954428
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
